identifier;sportName;type;publisherName;publisherIdentifier;title;dateAccepted;number;status;url
2024-18/3.2/24;Перетягування канату;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з перетягування канату;17.07.2024;18/3.2/24;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2024/%20%D0%BF%D0%B5%D1%80%D0%B5%D1%82%D1%8F%D0%B3%D1%83%D0%B2%D0%B0%D0%BD%D0%BD%D1%8F%20%D0%BA%D0%B0%D0%BD%D0%B0%D1%82%D1%83.pdf 
2024-17/3.2/24;Американський футбол;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з американського футболу;17.07.2024;17/3.2/24;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2024/%20%D0%90%D0%BC%D0%B5%D1%80%D0%B8%D0%BA%D0%B0%D0%BD%D1%81%D1%8C%D0%BA%D0%B8%D0%B9%20%D1%84%D1%83%D1%82%D0%B1%D0%BE%D0%BB.pdf 
2024-16/3.2/24;Петанк;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивного звання з петанку;17.07.2024;16-3.2/24;Втратив чинність;null
2024-15/3.2/24;Армрестлінг;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з армрестлінгу ;26.06.2024;15/3.2/24;Втратив чинність;null
2024-14/3.2/24;Кудо;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з кудо;06.06.2024;14/3.2/24;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2024/%20%D0%9A%D1%83%D0%B4%D0%BE.pdf 
2024-13/3.2/24;Спортивна аеробіка;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань зі спортивної аеробіки;23.05.2024;13/3.2/24;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2024/%20%D0%A1%D0%BF%D0%BE%D1%80%D1%82%D0%B8%D0%B2%D0%BD%D0%B0%20%D0%B0%D0%B5%D1%80%D0%BE%D0%B1%D1%96%D0%BA%D0%B0.pdf 
2024-12/3.2/24;Веслування на човнах «Дракон»;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;"Правила спортивних змагань з веслування на човнак ""Дракон""";02.05.2024;12/3.2/24;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2024/%20%D0%94%D1%80%D0%B0%D0%BA%D0%BE%D0%BD.pdf 
2024-11/3.2/24;Текбол;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з текболу;23.04.2024;11/3.2/24;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2024/%20%D0%A2%D0%B5%D0%BA%D0%B1%D0%BE%D0%BB.pdf 
2024-10/4.1/24;Пара плавання;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з пара плавання;18.04.2024;10/4.1/24;Чинний;null
2024-9/4.2/24;Кіокушин карате;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з кіокушин карате;12.04.2024;9/4.2/24;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2024/%20%D0%9A%D1%96%D0%BE%D0%BA%D1%83%D1%88%D0%B8%D0%BD%20%D0%BA%D0%B0%D1%80%D0%B0%D1%82%D0%B5.pdf 
2024-8/4.2/24;Ушу;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з ушу;11.04.2024;8/4.2/24;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2024/%20%D1%83%D1%88%D1%83.pdf 
2024-7/4.2/24;Падел;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з паделу;22.03.2024;7/4.2/24;Зі змінами;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2024/%D0%9F%D0%B0%D0%B4%D0%B5%D0%BB.pdf 
2024-6/4.2/24;Планерний спорт;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з планерного спорту;14.02.2024;6/4.2/24;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2024/%20%D0%BF%D0%BB%D0%B0%D0%BD%D0%B5%D1%80%D0%BD%D0%B8%D0%B9%20%D1%81%D0%BF%D0%BE%D1%80%D1%82.pdf 
2024-5/4.2/24;Грепплінг;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з грепплінгу;13.02.2024;5/4.2/24;Втратив чинність;null
2024-4/4.3/24;Хокей з шайбою;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з хокею з шайбою;07.02.2024;4/4.3/24;Чинний;null
2024-3/5.2_р/24;Спортивні танці;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань зі спортивних танців;25.01.2024;3/5.2_р/24;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2024/%D0%A1%D0%BF%D0%BE%D1%80%D1%82%D0%B8%D0%B2%D0%BD%D1%96%20%D1%82%D0%B0%D0%BD%D1%86%D1%96.pdf 
2024-2/5.2/24;Боротьба на поясах АЛИШ;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з боротьби на поясах АЛИШ;18.01.2024;2/5.2/24;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2024/%D0%90%D0%BB%D0%B8%D1%88.pdf 
2024-1/5.2/24;Спортивна аеробіка;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань зі спортивної аеробіки;15.01.2024;1/5.2/24;Втратив чинність;null
