identifier;sportName;type;publisherName;publisherIdentifier;title;dateAccepted;number;status;url
2021-31/4.3/21;Кінний спорт;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних  змагань з кінного спорту (виїздка, подолання перешкод, триборство);18.10.2021;31/4.3/21;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2021/khorting.pdf
2021-30/5.3/21;Аквабайк;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з аквабайку;30.09.2021;30/5.3/21;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2021/sumo-2021.pdf
2021-29/5.3/21;Хортинг;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з хортингу;09.09.2021;29/5.3/21;Втратив чинність;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2021/samboborotba.pdf
2021-28/5.2/21;Сумо;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з сумо;22.07.2021;28/5.2/21;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2021/plborortba.pdf
2021-27/5.2/21;Боротьба самбо;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з боротьби самбо;22.07.2021;27/5.2/21;Зі змінами;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2021/mma.pdf
2021-26/5.2/21;Пляжна боротьба;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з пляжної боротьби;09.07.2021;26/5.2/21;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2021/rolsport.pdf
2021-25/5.3/21;Змішані єдиноборства (MMA);"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань зі змішаних єдиноборств (ММА);07.07.2021;25/5.3/21;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2021/tantsi.pdf
2021-24/5.2/21;Роликовий спорт ;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з роликового спорту;06.07.2021;24/5.2/21;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2021/skipr.pdf
2021-23/5.2/21;Спортивні танці;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань зі спортивних танців;05.07.2021;23/5.2/21;Втратив чинність;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2021/peintbol.pdf
2021-22/4.4/21;Лижні гонки;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з лижних гонок;29.06.2021;22/4.4/21;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2021/gorsport.pdf
2021-21/5.3/21;Пейнтбол;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з пейнтболу;23.06.2021;21/5.3/21;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2021/slalom.pdf
2021-20/5.3/21;Городковий спорт;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з городкового спорту;16.06.2021;20/5.3/21;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2021/bodigard.pdf
2021-19/4.2/21;Веслувальний слалом;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з веслувального слалому;09.06.2021;19/4.2/21;Зі змінами;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2021/ukrborotpous.pdf
2021-18/5.3/21;Багатоборство тілоохоронців;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила змагань з багатоборства тілоохоронців;07.06.2021;18/5.3/21;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2021/go.pdf
2021-17/5.3/21;Українська боротьба на поясах;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з української боротьби на поясах;04.06.2021;17/5.3/21;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2021/sportivnikh-zmagan-z-rukopashnogo-boyu.pdf
2021-16/5.2/21;Го;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з го;01.06.2021;16/5.2/21;Втратив чинність;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2021/pravila-sportivnikh-zmagan-zi-sportivnogo-orientuvannya.pdf
2021-15/5.3/21;Рукопашний бій;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з рукопашного бою;26.04.2021;15/5.3/21;Втратив чинність;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2021/sportivnikh-zmagan-z-estetichnoi-grupovoi-gimnastiki.pdf
2021-14/5.2/21;Спортивне орієнтування;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань зі спортивного орієнтування;23.04.2021;14/5.2/21;Зі змінами;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2021/sportivnikh-zmagan-zi-sportu-iz-sobakami.pdf
2021-13/5.3/21;Естетична групова гімнастика;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з естетичної групової гімнастики;22.04.2021;13/5.3/21;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2021/pravila-sportivnikh-zmagan-zi-sportivnogo-turizmu.pdf
2021-12/5.3/21;Спорт із собаками;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань зі спорту із собаками;19.04.2021;12/5.3/21;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2021/shotokan-karate.pdf
2021-11/5.3/21;Спортивний туризм;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань зі спортивного туризму;15.04.2021;11/5.3/21;Втратив чинність;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2021/shotokan-karate.pdf
2021-10/5.3/21;Фунакоші шотокан карате;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з фунакоші шотокан карате;31.03.2021;10/5.3/21;Втратив чинність;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2021/pravila-sportivnikh-zmagan-z-tantsyuvalnogo-sportu.pdf
2021-9/5.3/21;Бойове самбо;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила проведення змагань з бойового самбо;26.03.2021;9/5.3/21;Втратив чинність;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2021/pravila-sportivnikh-zmagan-z-pauerliftingu.pdf
2021-8/5.2/21;Танцювальний спорт;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з танцювального спорту;10.03.2021;8/5.2/21;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2021/badminton.pdf
2021-7/5.2/21;Пауерліфтинг;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з пауерліфтингу;10.03.2021;7/5.2/21;Втратив чинність;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2021/sportivnikh-zmagan-z-kikboksingu-wka.pdf
2021-6/4.6/21;Бадмінтон;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила гри та проведення змагань з бадмінтону;03.03.2021;6/4.6/21;Зі змінами;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2021/pravila-z-vesluvannya-na-baydarkakh.pdf
2021-5/5.3/21;Кікбоксинг WKA;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила гри та проведення змагань з кікбоксингу WKA;22.02.2021;5/5.3/21;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2021/pravila-kombat.pdf
2021-3/4.2/21;Веслування на байдарках і каное;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з веслування на байдарках і каное;15.02.2021;3/4.2/21;Втратив чинність;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2021/pps.pdf
2021-3/5.3/21;Комбат самозахист ІСО;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з комбат самозахист ІСО;15.02.2021;3/5.3/21;Втратив чинність;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2021/stendova.pdf
2021-4/5.3/21;Пожежно-прикладний спорт;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з пожежно-прикладного спорту;15.02.2021;4/5.3/21;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2020/zmini1-do-pravil-zmagan-zi-sportivnogo-pokery.pdf
2021-1/4.3/21;Стрільба стендова;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила гри та проведення змагань зі стрільби стендової;12.01.2021;1/4.3/21;Втратив чинність;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2020/poker.pdf
2020-5/5.2/20;Спортивний покер;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Зміни до Правил спортивних змагань зі спортивного покеру, затверджених Міністерством молоді та спорту України 23.09.2020  за № 4/5.2/20;22.12.2020;5/5.2/20;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2020/pravila-sportivnih-zmagan-z-praktichnoyi-strilbi.pdf
2020-4/5.2/20;Спортивний покер;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань зі спортивного покеру ;23.09.2020;4/5.2/20;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2020/pravila-iska.pdf
2020-3/5.3/20;Практична стрільба;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з практичної стрільби;08.09.2020;3/5.3/20;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2020/sportivnii-bridj.pdf
2020-2/5.3/20;Кікбоксинг ІСКА;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з кікбоксингу ІСКА;02.09.2020;2/5.3/20;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2019_2018/5019-1.pdf
2020-1/5.2/20;Спортивний бридж;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань зі спортивного бриджу;01.09.2020;1/5.2/20;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2019_2018/4981-1.pdf
2019-5019;"Бадмінтон; Дзюдо; Біатлон";Наказ;Міністерство молоді та спорту України;38649881;Про скасування наказів Міністерства молоді та спорту України від 09.08.2019 № 4070, від 16.08.2019 № 4181, від 29.08.2019 № 4372, від 29.08.2019 № 4373;03.10.2019;5019;Чинний;null
2019-4981;"Кікбоксинг ІСКА; Комбат самозахист ІСО";Наказ;Міністерство молоді та спорту України;38649881;Про скасування наказів Міністерства молоді та спорту України від 16.08.2019 № 4180 та від 22.08.2019 № 4284;02.10.2019;4981;Чинний;null
2019-4373;Біатлон;Наказ;Міністерство молоді та спорту України;38649881;Про затвердження Правил проведення спортивних змагань з біатлону;2019-29-08;4373;Втратив чинність;null
2019-4284;Комбат захист ІСО;Наказ;Міністерство молоді та спорту України;38649881;Про затвердження Правил спортивних змагань з комбат самозахист ІСО;22.08.2019;4284;Втратив чинність;null
2019-4180;Кікбоксинг ІСКА;Наказ;Міністерство молоді та спорту України;38649881;Про затвердження Правил спортивних змагань з кікбоксингу ІСКА;16.08.2019;4180;Втратив чинність;null
2019-4181;Дзюдо;Наказ;Міністерство молоді та спорту України;38649881;Про затвердження Правил спортивних змагань з дзюдо;16.08.2019;4181;Втратив чинність;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2019_2018/3846-1.pdf
2019-4070;Бадмінтон ;Наказ;Міністерство молоді та спорту України;38649881;Про затвердження Правил спортивних змагань з бадмінтону;09.08.2019;4070;Втратив чинність;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2019_2018/3698-1.pdf
2019-3846;Стрибки у воду;Наказ;Міністерство молоді та спорту України;38649881;Про затвердження Правил спортивних змагань зі стрибків у воду;26.07.2019;3846;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2019_2018/3606-1.pdf
2019-3698;Водне поло;Наказ;Міністерство молоді та спорту України;38649881;Про затвердження Правил спортивних змагань з водного поло;19.07.2019;3698;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2019_2018/2911-1.pdf
2019-3606;Таїландський бокс Муей Тай;Наказ;Міністерство молоді та спорту України;38649881;Про внесення змін до Правил спортивних змагань з таїландського боксу Муей Тай;15.07.2019;3606;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2019_2018/2818.pdf
2019-2911;Важка атлетика;Наказ;Міністерство молоді та спорту України;38649881;Про затвердження Правил спортивних змагань з важкої атлетики;06.06.2019;2911;Чинний;null
2019-2818;Лижні гонки;Наказ;Міністерство молоді та спорту України;38649881;Про затвердження Правил спортивних змагань з лижних гонок;03.06.2019;2818;Втратив чинність;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2019_2018/pravila-shb-rolikovii-sport.pdf
2019-2798;Санний спорт;Наказ;Міністерство молоді та спорту України;38649881;Про затвердження Правил спортивних змагань з санного спорту;null;2798;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2019_2018/2134.pdf
2019-2642;Роликовий спорт;Наказ;Міністерство молоді та спорту України;38649881;Про затвердження Правил спортивних змагань з роликового спорту в дисципліні швидкісний біг на роликових ковзанах;27.05.2019;2642;Втратив чинність;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2019_2018/1846-1.pdf
2019-2134;Рукопаш гопак;Наказ;Міністерство молоді та спорту України;38649881;Про затвердження Правил спортивних змагань з рукопашу гопак;03.05.2019;2134;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2019_2018/1616-1.pdf
2019-1846;Військово-спортивні багатоборства;Наказ;Міністерство молоді та спорту України;38649881;Про внесення змін до Правил спортивних змагань з військово-спортивних багатоборств;15.04.2019;1846;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2019_2018/1179-1.pdf
2019-1616;Шорт-трек;Наказ;Міністерство молоді та спорту України;38649881;Про затвердження Правил спортивних змагань з шорт-треку;01.04.2019;1616;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2019_2018/1164-1.pdf
2019-1179;Кунгфу;Наказ;Міністерство молоді та спорту України;38649881;Про внесення змін до Правил спортивних змагань з кунгфу;07.03.2019;1179;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2019_2018/813-1.pdf
2019-1164;Лижне двоборство;Наказ;Міністерство молоді та спорту України;38649881;Про затвердження Правил спортивних змагань з лижного двоборства;06.03.2019;1164;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2019_2018/23-1.pdf
2019-813;Гирьовий спорт;Наказ;Міністерство молоді та спорту України;38649881;Про внесення змін до Правил спортивних змагань з гирьового спорту;18.02.2019;813;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2019_2018/5755.pdf
2019-23;Фристайл;Наказ;Міністерство молоді та спорту України;38649881;Про затвердження Правил спортивних змагань з фристайлу;04.01.2019;23;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2019_2018/5615-11.pdf
2018-5755;Стрибки на лижах з трампліна;Наказ;Міністерство молоді та спорту України;38649881;Про затвердження Правил спортивних змагань зі стрибків на лижах з трампліна;19.12.2018;5755;Чинний;null
2018-5615;Кіокушинкайкан карате;Наказ;Міністерство молоді та спорту України;38649881;Про затвердження Правил спортивних змагань з кіокушинкайкан карате;07.12.2018;5615;Чинний;null
2018-5409;Рукопашний бій;Наказ;Міністерство молоді та спорту України;38649881;Про затвердження Правил спортивних змагань з рукопашного бою;23.11.2018;5409;Втратив чинність;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2019_2018/4894.pdf
2018-4907;Фігурне катання на ковзанах;Наказ;Міністерство молоді та спорту України;38649881;Про затвердження Правил спортивних змагань з фігурного катання на ковзанах;24.10.2018;4907;Чинний;null
2018-4894;Альпінізм;Наказ;Міністерство молоді та спорту України;38649881;Про затвердження Правил спортивних змагань з альпінізму;23.10.2018;4894;Втратив чинність;null
2018-4623;Комбат Дзю-Дзюцу;Наказ;Міністерство молоді та спорту України;38649881;Про затвердження Правил спортивних змагань з комбат Дзю-Дзюцу;04.10.2018;4623;Втратив чинність;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2019_2018/4086-1.pdf
2018-4288;Літаковий спорт (вищий пілотаж на поршневих літаках);Наказ;Міністерство молоді та спорту України;38649881;Про затвердження Правил спортивних змагань з літакового спорту (вищий пілотаж на поршневих літаках);14.09.2018;4288;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2022/3906.pdf
2018-4086;Стрільба кульова;Наказ;Міністерство молоді та спорту України;38649881;Про затвердження Правил спортивних змагань зі стрільби кульової;04.09.2018;4086;Втратив чинність;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2019_2018/3152.pdf
2018-3906;Панкратіон;Наказ;Міністерство молоді та спорту України;38649881;Про затвердження Правил спортивних змагань з панкратіону;27.08.2018;3906;Втратив чинність;null
2018-3152;Грепплінг;Наказ;Міністерство молоді та спорту України;38649881;Про затвердження Правил спортивних змагань з грепплінгу;09.07.2018;3152;Втратив чинність;null
2018-3098;Хокей з шайбою;Наказ;Міністерство молоді та спорту України;38649881;Про затвердження Правил спортивних змагань з хокею з шайбою;05.07.2018;3098;Втратив чинність;null
2017-5130;Середньовічний бій;Наказ;Міністерство молоді та спорту України;38649881;Про затвердження Правил спортивних змагань з середньовічного бою;12.12.2017;5130;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2017_2014/20170418-zmini-do-pravil-nakaz.pdf
2017-2551;Вертолітний спорт;Наказ;Міністерство молоді та спорту України;38649881;Про внесення змін до Правил спортивних змагань  вертолітного спорту;14.06.2017;2551;Чинний;null
2017-2282;Парашутний спорт;Наказ;Міністерство молоді та спорту України;38649881;Про затвердження Змін до Правил спортивних змагань з парашутного спорту;30.05.2017;2282;Чинний;null
2015-3145;Веслування академічне;Наказ;Міністерство молоді та спорту України;38649881;Про внесення зміни до Правил спортивних змагань з веслування академічного;02.09.2015;3145;Чинний;null
2015-770;Парашутний спорт;Наказ;Міністерство молоді та спорту України;38649881;Про затвердження Змін до Правил спортивних змагань з парашутного спорту;23.03.2015;770;Чинний;null
2015-132;Парашутний спорт;Наказ;Міністерство молоді та спорту України;38649881;Щодо правил спортивних змагань з парашутного спорту;2015-2001;132;Чинний;null
2015-29;Парашутний спорт;Наказ;Міністерство молоді та спорту України;38649881;Про затвердження Змін до Правил спортивних змагань з парашутного спорту;12.01.2015;29;Чинний;https://mms.gov.ua/sport/pravila-zmagan
2014-1283;Військово-спортивні багатоборства;Наказ;Міністерство молоді та спорту України;38649881;Про затвердження Правил спортивних змагань з військово-спортивних багатоборств;22.04.2014;1283;Чинний;https://mms.gov.ua/sport/pravila-zmagan
2014-377;Кунгфу;Наказ;Міністерство молоді та спорту України;38649881;Про затвердження Змін до Правил спортивних змагань з кунгфу;06.02.2014;377;Чинний;https://mms.gov.ua/sport/pravila-zmagan
2014-272;Веслування на байдарках і каное;Наказ;Міністерство молоді та спорту України;38649881;Про затвердження Правил спортивних змагань з веслування на байдарках і каное;30.01.2014;272;Втратив чинність;https://mms.gov.ua/sport/pravila-zmagan
2014-94;Шотокан карате-до С.К.І.Ф.;Наказ;Міністерство молоді та спорту України;38649881;Про затвердження Правил спортивних змагань з Шотокан карате-до С.К.І.Ф.;20.01.2014;94;Втратив чинність;https://mms.gov.ua/sport/pravila-zmagan
2013-608;Вертолітний спорт;Наказ;Міністерство молоді та спорту України;38649881;Про затвердження Правил спортивних змагань з вертолітного спорту;14.10.2013;608;Чинний;https://mms.gov.ua/sport/pravila-zmagan
2013-47;Парашутний спорт;Наказ;Міністерство молоді та спорту України;38649881;Про затвердження Правил спортивних змагань з парашутного спорту;21.08.2013;47;Чинний;https://mms.gov.ua/sport/pravila-zmagan
2013-34;Фрі-файт;Наказ;Міністерство молоді та спорту України;38649881;Про затвердження Правил спортивних змагань з фрі-файту;23.07.2013;34;Чинний;https://mms.gov.ua/sport/pravila-zmagan
2013-28;Веслування академічне;Наказ;Міністерство молоді та спорту України;38649881;Про затвердження Правил спортивних змагань з веслування академічного;08.07.2013;28;Чинний;https://mms.gov.ua/sport/pravila-zmagan
2013-27;Гирьовий спорт;Наказ;Міністерство молоді та спорту України;38649881;Про затвердження Правил спортивних змагань з гирьового спорту;08.07.2013;27;Втратив чинність;https://mms.gov.ua/sport/pravila-zmagan
2013-26;Кікбоксинг ВТКА;Наказ;Міністерство молоді та спорту України;38649881;Про затвердження Правил спортивних змагань з кікбоксингу ВТКА;03.07.2013;26;Втратив чинність;https://mms.gov.ua/sport/pravila-zmagan
2013-23;Кунгфу;Наказ;Міністерство молоді та спорту України;38649881;Про затвердження Правил спортивних змагань з кунгфу;26.06.2013;23;Чинний;https://mms.gov.ua/sport/pravila-zmagan
2013-21;Косікі карате;Наказ;Міністерство молоді та спорту України;38649881;Про затвердження Правил спортивних змагань з косікі карате;18.06.2013;21;Чинний;https://mms.gov.ua/sport/pravila-zmagan
2013-15;Змішані єдиноборства (MMA);Наказ;Міністерство молоді та спорту України;38649881;Про затвердження Правил спортивних змагань зі змішаних єдиноборств (MMA);05.06.2013;15;Втратив чинність;null
2013-3;Таїландський бокс Муей Тай;Наказ;Міністерство молоді та спорту України;38649881;Про затвердження Правил спортивних змагань з таїландського боксу Муей Тай;01.04.2013;3;Втратив чинність;null
